"","log2FoldChange"
"102590713",1.276579252
"102582282",1.296365919
"102587628",-1.122990508
"102585036",-1.034662402
"102582504",-1.469922499
"102582937",-1.584886326
"102601295",-1.308940247
"102599953",-1.813727052
"102602517",-1.072046945
"102593308",-1.461045757
"102587590",2.380829096
"102595765",-1.880832514
"102579807",-1.002776788
"102603470",1.209026903
"102605156",1.072751172
"102587791",4.7151797
"102590070",-1.222050367
"102589512",1.242937105
"102592537",1.956102609
"102584115",-1.999103418
"102598549",1.185228221
"102584775",1.398443003
"102585502",4.453426205
"102602640",2.130291868
"102586644",7.335595984
"102584482",1.556431997
"102597250",-1.116395054
"102597169",1.273885921
"102593213",2.979504227
"102577501",1.53043173
"102590393",1.832840204
"102592415",1.048595277
"102593595",1.178224231
"102592548",-1.939044285
"102597310",1.596096818
"102599162",2.687050111
"102586615",1.581270896
"102606308",3.041605474
"102582312",-1.193335745
"107061527",1.978663759
"102587938",-1.828444864
"102600950",1.207415039
"102591373",-1.229684493
"102594691",-1.563296983
"107062267",-1.167232513
"102592711",-1.960571577
"102589679",1.607427185
"102592132",1.309524005
"102596643",-1.745028868
"102601589",1.016169192
"102592396",-1.189763864
"102591177",-2.203362212
"102596983",1.111272269
"102580991",-1.175001893
"102602226",3.65412503
"102584134",1.113796823
"102589610",1.221990014
"102582415",1.074428224
"102582095",1.403581707
"102594681",1.281601538
"102592141",8.907557825
"102593167",-2.558826854
"102601790",2.177435025
"102602124",3.684945125
"107060016",2.029630454
"102603473",6.750838867
"102602864",1.994338036
"102606118",1.037966002
"102582218",-4.760513139
"102578749",3.009646272
"102578408",1.827575186
"102579407",3.589606911
"102580376",5.686041363
"102582171",2.02074212
"102589695",-1.323078157
"102599280",1.460848579
"102588483",1.43494803
"102590433",-2.786948816
"102602068",-1.22934741
"102602394",1.164198513
"102585163",4.45664245
"102591277",2.898543015
"102600645",1.43896122
"102593423",1.722115149
"102591631",-1.026292387
"102585813",1.448160576
"102595526",-4.824531041
"102593237",1.272787265
"102593568",-1.050144939
"102593886",-1.050144939
"102604364",3.257373082
"102584363",1.399869086
"102584043",2.753750786
"102586025",-1.320971477
"102578391",1.374041302
"102593970",1.607839242
"102603422",2.355049392
"102601526",3.532394722
"102600844",2.465354634
"102578956",5.019897248
"102584553",1.795792958
"102589894",1.67615821
"102582318",2.363456203
"102595651",1.423649825
"102590249",-2.039257819
"102586580",-1.133215888
"102586919",-1.655912567
"102586963",1.315354422
"102589676",3.013057737
"102585621",-1.217091225
"102582306",-1.989514462
"102605073",1.105966433
"107060780",1.131501787
"102595404",-1.186283822
"102582494",1.946937029
"102586241",-2.607499605
"102584835",1.295825007
"102589336",-2.902921414
"102590201",3.93320897
"102599348",-1.705782468
"102592896",1.187681569
"102596881",1.524665404
"102589003",2.617644327
"102589987",3.08624723
"102601500",1.29284034
"102599854",-1.578973511
"107059253",1.171019005
"102581556",3.102550421
"102587946",1.906008135
"102597565",1.099824345
"107060891",5.157984958
"102605417",2.670813198
"102601393",1.400624423
"102602059",2.46485653
"102597126",5.329304948
"102593943",1.182743386
"102591685",4.741690798
"102593263",-2.367952057
"102598964",-1.574140329
"102603188",-1.061440259
"102592654",1.082803088
"102585851",1.202348607
"102595018",-1.109128268
"102595782",3.349874844
"102604054",1.588518657
"102600867",2.163927267
"102596181",1.093177431
"102600114",-2.211033992
"102579185",1.853291043
"102591710",-1.159283624
"102582444",5.25534873
"102589919",-2.504002871
"102590233",1.03312103
"102605779",1.843201417
"102586183",1.653964713
"102598900",3.731041206
"102602998",1.109144402
"102588252",1.217030756
"102600821",1.580302871
"102600895",1.029502088
"102601683",-1.837798025
"102605154",1.204580967
"102594495",2.304526763
"102582727",1.526407527
"102580350",5.914526338
"102593180",1.251443452
"102601674",1.681394072
"102599884",1.76536571
"102600644",4.532125283
"107058119",1.144546212
"107057772",-1.473773534
"102582752",2.654407901
"102584082",2.305919437
"102593357",-1.58329859
"102596435",-2.042137958
"102604299",-1.780976953
"102582082",1.773155769
"102604625",1.209436704
"102581478",1.010804248
"102593808",-1.849054397
"102593253",-2.036187495
